id,createdBy,quote,createdDate,game
1344,SageWiZe,"Great! I am so drunk I got to go to bed! - @SuperPenguinTV Star Citizen Pub Crawl","2022-12-04 02:10:49.888000","Star Citizen"
1345,SageWiZe,"Don't lick the cat? -@ceasarforever Star Citizen Pub Crawl","2022-12-04 02:12:00.282000","Star Citizen"
1346,SageWiZe,"Don't lick the cat? - @ceasarforever Star Citizen Pub Crawl","2022-12-04 02:12:49.800000","Star Citizen"
1347,SageWiZe,"I've got a big opening! - @superpenguintv","2022-12-09 19:57:39.718000","Star Citizen"
1348,ArtAndSoul7,"Well I guess I’m going naked. We’ll just deal with it naked! -Penguin","2022-12-09 21:12:10.608000","Star Citizen"
1349,SageWiZe,"I've been missing the worm! - @superpenguintv","2022-12-09 21:20:19.381000","Star Citizen"
135,SageWiZe,"I am usually right on it! - SuperPenguinTV","2022-01-19 20:54:53.210000","Star Citizen"
1350,SageWiZe,"I'm actually glad you're above me! I think I'm at the end of it now! - @superpenguintv","2022-12-09 21:41:22.195000","Star Citizen"
1351,SageWiZe,"I ma or may not given him an ingame hand job and be!- @beercoretv","2022-12-09 22:01:25.075000","Star Citizen"
1352,SageWiZe,"I may or may not have given him an ingame hand job! - @beercoretv","2022-12-09 22:03:13.162000","Star Citizen"
1353,SageWiZe,"I do it the hard way! - @beercoretv","2022-12-09 22:04:10.580000","Star Citizen"
1354,SageWiZe,"I'm seeing your crotch right now! - @beercoretv","2022-12-09 22:17:58.506000","Star Citizen"
1355,Bringar314,"it was even better when they flew inside3 us - Jedi","2022-12-10 00:01:00.558000","Star Citizen"
1356,ArtAndSoul7,"I’m the voice of authority! -Addermoth (Everyone laughs) What are you laughing about? -Addermoth","2022-12-10 18:44:41.752000","Star Citizen"
1357,ArtAndSoul7,"The only one we could possibly call Daddy is Pesteh! -Superpenguintv","2022-12-10 18:45:15.756000","Star Citizen"
1358,ArtAndSoul7,"My butt cheeks don’t spread, but my legs do! -Thornberg","2022-12-10 20:07:59.791000","Star Citizen"
1359,ArtAndSoul7,"That was anti-climatic. -Thornberg That’s what your wife said to me last night! -Penguin If my wife was with you, it would have been. -Thornberg","2022-12-10 20:11:12.024000","Star Citizen"
136,SageWiZe,"I tripped on my dick and fell! - Octane93","2022-01-26 19:34:04.588000","Deep Rock Galactic"
1360,SageWiZe,"The penus is about to show up on screen. Do you want to see it? There it is! That's what I'm talking about! See how round it is! - @superpenguintv Star Citizen","2022-12-13 17:08:18.893000","Star Citizen"
1361,SageWiZe,"Holy Fuck! Who did that? Oh @jedishinobi13 you got me good! - @superpenguintv Star Citizen Dixper","2022-12-13 17:18:10.413000","Star Citizen"
1362,SageWiZe,"I'll come for your slots @pesteh ! - @superpenguintv","2022-12-13 19:17:31.175000","Star Citizen"
1363,SageWiZe,"Uou need his clothes! - @pesteh","2022-12-13 19:54:52.957000","Star Citizen"
1364,ArtAndSoul7,"I don’t think we would be able to get it out when we get it in there! -Penguin","2022-12-13 19:57:35.610000","Star Citizen"
1365,SageWiZe,"Many dogs are smarter than the Master! a @akirakun1","2022-12-13 20:10:05.281000","Star Citizen"
1366,ArtAndSoul7,"Everyone wants a juice box! It’s common knowledge! -Penguin","2022-12-13 22:49:32.424000","Star Citizen"
1367,SageWiZe,"I do not think this is going to fit but we are going to try! - @SuperPenguinTV Star Citizen","2022-12-14 23:47:07.523000","Star Citizen"
1368,SageWiZe,"It's hard with this ship guys! I told you it was worth it @c. - @superpenguintv Star Citizen","2022-12-15 01:50:30.609000","Star Citizen"
1369,SageWiZe,"Blow it! - @banesdhe Star Citizen","2022-12-15 01:51:46.035000","Star Citizen"
137,SageWiZe,"Where did you come from? That hole in the wall! - Octane93","2022-01-26 19:36:37.378000","Deep Rock Galactic"
1370,SageWiZe,"Is it to wide? I thought it was the same width? See that's about as far as I got before! - @superpenguintv Star Citizen","2022-12-15 02:01:45.089000","Star Citizen"
1371,SageWiZe,"Of fuck Security got me! I forgot I had a crime stat! - @superpenguintv Star Citizen","2022-12-15 02:13:55.302000","Star Citizen"
1372,SageWiZe,"I believe in you Daddy :( - @warking86","2022-12-15 03:08:59.932000","Star Citizen"
1373,SageWiZe,"That leaf must me made out of duratanium! - @thornberg84 Star Citizen","2022-12-15 08:06:04.691000","Star Citizen"
1374,SageWiZe,"It May or may not move up 5 every time someone hits it... - @pesteh Star Citizen","2022-12-15 08:31:19.024000","Star Citizen"
1375,SageWiZe,"Getting high in the morning is never a good idea for me! - @Thornberg84 Star Citizen","2022-12-15 09:29:30.077000","Star Citizen"
1376,SageWiZe,"And Now It's All Over My Pants! - @thornberg84 Star Citizen","2022-12-15 09:51:28.850000","Star Citizen"
1377,SageWiZe,"You have to Cum to me? Ohhh Come to me! - @SuperPenguinTV Star Citizen","2022-12-15 10:04:43.140000","Star Citizen"
1378,SageWiZe,"Sax is a good way to reduce calories! - @AdderMoth","2022-12-15 20:00:05.211000","Star Citizen"
1379,SageWiZe,"@SuperPenguinTV did you ever get your high heels and how to kill npcs once you got them in deep space? - @Akirakun1 Star Citizen","2022-12-15 20:00:57.005000","Star Citizen"
138,SageWiZe,"We need four more of those Nuts! - Octane93","2022-01-26 19:41:16.839000","Deep Rock Galactic"
1380,ArtAndSoul7,"I always get it off. Don’t you guys get it off? -Penguin","2022-12-16 18:33:14.074000","Star Citizen"
1381,ArtAndSoul7,"You’re just drunk Adder and that’s why you can’t get it off. Whiskey dick. -Penguin","2022-12-16 18:33:40.699000","Star Citizen"
1382,ArtAndSoul7,"I always have to push her off, like ewww girl, the lord is watching! -MrBlaargh","2022-12-16 18:34:14.734000","Star Citizen"
1383,SageWiZe,"I'm sure having that up your ass crack is really comfortable! - @peseth Star Citizen","2022-12-16 20:00:55.447000","Star Citizen"
1384,SageWiZe,"Give me a big sloppy blowjob! - @Thornberg84 Star Citizen","2022-12-16 20:24:55.018000","Star Citizen"
1385,SageWiZe,"Why arent you taking the drugs? The white red green and blue ones! - @Cnshoot Star Citizen","2022-12-16 20:33:11.792000","Star Citizen"
1386,SageWiZe,"A fucking tape measure? LUL - @falcon_evo_","2022-12-16 21:41:32.806000","Star Citizen"
1387,SageWiZe,"I've been in the front way! - @beercoretv","2022-12-17 00:23:23.404000","Star Citizen"
1388,SageWiZe,"Can you back up? - @superpenguintv That's what she said! I bet it won't fit! - @beercoretv","2022-12-17 00:34:47.386000","Star Citizen"
1389,SageWiZe,"I didnt even finish! - @JediShinobi13","2022-12-22 06:41:43.879000","Marbles On Stream"
139,SageWiZe,"Don't just jump in the hole! - Octane93","2022-01-26 19:53:44.732000","Deep Rock Galactic"
1390,SageWiZe,"Wash him! Don't be a dick! - @superpenguintv","2022-12-22 07:07:08.134000","Star Citizen"
1391,SageWiZe,"You want me to come to you? - @HazelnutGames","2022-12-23 16:57:23.205000","Star Citizen"
1392,SageWiZe,"Get your head off my lap! Go Get! - @SuperPenguinTV","2022-12-23 17:59:55.778000","Star Citizen"
1393,SageWiZe,"Stop frying spam! You're ruining it! - @MrBlaargh","2022-12-23 18:17:18.964000","Star Citizen"
1394,SageWiZe,"Oh Shit! I'm still alive! I'm Still alive! And now I am Dead! - @SuperPenguinTV Star Citizen Crime Stat Rock Climbing","2022-12-23 23:06:51.480000","Star Citizen"
1395,SageWiZe,"So body pillow of Penguin? - @ArtAndSoul7","2022-12-23 23:51:54.755000","Star Citizen"
1396,SageWiZe,"No one chose my dildo! - @SuperPenguinTV Jackbox Party","2022-12-25 19:28:52.335000","Jackbox Party Packs"
1397,SageWiZe,"As long as its kim kardashian trivia, I know everything about that ass! - @VarynClan Jackbox Party","2022-12-25 20:10:16.069000","Jackbox Party Packs"
1398,SageWiZe,"Dildos, Dicks and all that's fine! - @SuperPenguinTV","2022-12-25 22:13:18.922000","Jackbox Party Packs"
1399,SageWiZe,"Chocolate salty balls... Stick em in your mouth and suk em! LUL - @skxjp Jackbox Party","2022-12-25 22:31:21.322000","Jackbox Party Packs"
14,SageWiZe,"Nice creamy hot gravy in your mouth! That's where it's at! - resistant_gaming","2022-01-22 05:03:19.994000","Star Citizen"
140,SageWiZe,"I got jumped by that big thing crawling down towards you! - Ghostcomm","2022-01-26 19:57:49.807000","Deep Rock Galactic"
1400,SageWiZe,"I got flappy wings! - @huxley_gd","2022-12-25 22:49:34.264000","Jackbox Party Packs"
1401,SageWiZe,"Shaved Pickles! - @huxley_gd","2022-12-25 23:53:49.145000","Jackbox Party Packs"
1402,SageWiZe,"Everyone give it to art and soul!!! - @ArtAndSoul7","2022-12-26 00:24:03.866000","Jackbox Party Packs"
1403,SageWiZe,"My doctor said i have a bad case of Viginas cause I did not even know I was a girl! - @huxley_gd","2022-12-26 01:01:57.604000","Jackbox Party Packs"
1404,SageWiZe,"When this song say i ain't the sharpest tool in the shed it always reminds me of AOL saying You got mail! - @skxjp","2022-12-26 01:40:31.468000","Jackbox Party Packs"
1405,SageWiZe,"It's easy to loose things down the hole! - @bringar314 Star Citizen","2022-12-27 20:34:56.745000","Star Citizen"
1406,SageWiZe,"You got one hole left! - @superpenguintv","2022-12-28 00:46:06.185000","Golf It!"
1407,SuperPenguinTV,"Why am I not getting hard enough? -JediShinobi","2022-12-28 20:10:47.353000","Golf It!"
1408,SageWiZe,"Oh no! I can't let my wife beat me! - @SuperPenguinTV","2022-12-28 20:38:31.092000","Fall Guys"
1409,SageWiZe,"How much of a cock tease is that? - @SuperPenguinTV Pummel Party","2022-12-28 23:10:08.518000","Pummel Party"
141,Super_Waffle_Bot,"My suspension for a butt hole on live stream was only 24 hours. - SuperPenguinTV","2022-01-08 00:00:00.000000","Star Citizen"
1410,SageWiZe,"I’m in bed! 🛌 - @falcon_evo_","2022-12-28 23:53:24.647000","Pummel Party"
1411,SageWiZe,"If it's coming up let me know and I will Hold Off! - @SuperPenguinTV","2022-12-29 00:08:48.145000","Pummel Party"
1412,SageWiZe,"Open and down the hole? Ah I just puffed myself! - @beercoreTV","2022-12-29 00:22:43.229000","Pummel Party"
1413,SageWiZe,"You got a hole in one? Lets Go! - @beercoreTV","2022-12-29 00:23:43.226000","Pummel Party"
1414,SageWiZe,"No No I do not want to be this close to my Ball! - @beercoreTV","2022-12-29 00:30:32.451000","Pummel Party"
1415,ArtAndSoul7,"Nick NZ, how you blow me?! -Penguin I’m behind you! -Nick NZ","2022-12-29 00:47:23.221000","Golf It!"
1416,SageWiZe,"Selfish pricks! :D - @VarynClan","2022-12-29 01:20:31.243000","Fall Guys"
1417,SageWiZe,"Grab people! Grab People! - @beercoreTV Push them off! - @SuperPenguinTV Fall Guys","2022-12-29 01:29:40.289000","Fall Guys"
1418,SageWiZe,"It only matters how fast you are at it! - @SuperPenguinTV","2022-12-29 01:44:18.061000","Fall Guys"
1419,SageWiZe,"Oh No it's coming out because I held him! - @BaneSdhe","2022-12-29 01:46:09.791000","Fall Guys"
142,SageWiZe,"I am on fire! - SuperPenguinTV Well stop walking in front of me when I got my thing out! - Octane93","2022-01-26 19:58:53.395000","Deep Rock Galactic"
1420,SageWiZe,"If you've ever woken up in the poopy puppy channel hit this emote rn! sptvPuppy - @beercoreTV","2022-12-29 02:29:06.952000","Fall Guys"
1421,SageWiZe,"Lap dance doesn't typically relieve blue balls....! - @Grevvon","2022-12-29 17:41:43.970000","X4: Foundations"
1422,SageWiZe,"I literally pur the fries RIGHT next to your chicken! - @Nuvene","2022-12-29 18:34:03.318000","X4: Foundations"
1423,SageWiZe,"I’ll be your friend! - @falcon_evo_","2022-12-30 00:47:32.264000","X4: Foundations"
1424,SageWiZe,"Would rather eat one big dick or 12 small dicks? - @pesteh One big dick! it's easier to keep track of! - @superpenguintv","2022-12-30 20:25:20.292000","Pummel Party"
1425,SageWiZe,"I would prefer grilled dicks! @jedishinobi13","2022-12-30 20:26:36.374000","Pummel Party"
1426,SageWiZe,"This is a cock loving channel! - @superpenguintv","2022-12-30 20:41:12.945000","Pummel Party"
1427,SageWiZe,"You all are cock whores! - @superpenguintv","2022-12-30 21:17:24.929000","Pummel Party"
1428,SageWiZe,"You all are cock whores! - @superpenguintv","2022-12-30 21:19:46.691000","Pummel Party"
1429,SageWiZe,"You fucked me more times than anyone else! - @SuperPenguinTV Pummle Party","2022-12-30 22:31:02.569000","Pummel Party"
143,SageWiZe,"LOL it looked like something nasty! Like a Left Ball - Ghostcomm","2022-01-26 20:04:18.637000","Deep Rock Galactic"
1430,SageWiZe,"You stuck it in me and then it gets all squishy! - @beercoreTV Pummle Party","2022-12-30 22:32:00.414000","Pummel Party"
1431,SageWiZe,"You got honey on my leg! - @JediShinobi13 That was not honey! - @SuperPenguinTV","2022-12-31 00:08:32.439000","Pummel Party"
1432,SageWiZe,"I am having @addermoth s Baby! - @strannex","2022-12-31 22:22:53.545000","Jackbox Party Packs"
1433,SageWiZe,"@Pesteh never turns down a request to put his sea man in your poop deck. - @dMwLiberator","2023-01-12 16:41:24.173000","Sea of Thieves"
1434,SageWiZe,"Don't worry @pesteh I got your Balls Locked up tight in my cage! - @SuperPenguinTV","2023-01-12 17:43:19.326000","Sea of Thieves"
1435,SageWiZe,"@pesteh has always been crap at talking into the mic! - @dMwLiberator","2023-01-12 18:37:39.375000","Sea of Thieves"
1436,SageWiZe,"Your Voice is So Much Deeper Tonight @pesteh - @SuperPenguinTV Ahhh YEAH! - @pesteh","2023-01-12 18:46:50.681000","Sea of Thieves"
1437,SageWiZe,"Anytime is a good time for Cheese Balls! - @comicstud","2023-01-13 20:47:36.431000","Sea of Thieves"
1438,SageWiZe,"There is a Leak! - @pesteh That is what she said! - @SuperPenguinTV","2023-01-13 20:57:47.231000","Sea of Thieves"
1439,SageWiZe,"It might rub a little bit but it will be ok! - @SuperPenguinTV","2023-01-13 22:56:41.338000","Sea of Thieves"
144,SageWiZe,"It's the fastest who gets laid and the fastest who gets paid! - Octane93","2022-01-26 20:05:23.023000","Deep Rock Galactic"
1440,SageWiZe,"Awe Mother Fuck Nut! Who shot that? - @SuperPenguinTV","2023-01-13 22:59:58.007000","Sea of Thieves"
1441,SageWiZe,"Ah Fuck Me! Barrel! I'm Dead! - @comicstud","2023-01-13 23:32:43.633000","Sea of Thieves"
1442,SageWiZe,"What's Forrest Gump's Facebook password? 1forest1. - @VRLabRat","2023-01-14 17:21:22.829000","Sea of Thieves"
1443,SageWiZe,"There is a hole I do not see it! - @SuperPenguinTV","2023-01-14 18:25:25.392000","Sea of Thieves"
1444,SageWiZe,"Dogs can't operate MRI machines. But catscan! - @VRLabRat","2023-01-14 18:33:21.015000","Sea of Thieves"
1445,SageWiZe,"The flavor text for snake meat implies it might help! lol, the flavor text! - @WaveSaver","2023-01-14 18:58:37.831000","Sea of Thieves"
1446,SageWiZe,"I knew it was coming and it still got me! My legs shook! it came! - @SuperPenguinTV","2023-01-19 20:58:30.021000","Star Citizen"
1447,SageWiZe,"I find this talk of Cocks childish. I'm staying. - @dMwLiberator","2023-01-20 17:16:22.633000","Star Citizen"
1448,ArtAndSoul7,"You guys think I’m kidding about the cocks, but I’m not! -Penguin","2023-01-20 17:16:29.349000","Star Citizen"
1449,ArtAndSoul7,"I already got me cocks -TheNickNZ","2023-01-20 17:17:17.334000","Star Citizen"
145,Super_Waffle_Bot,"I use my head to work every day! -Penguin ","2021-12-08 00:00:00.000000","Star Citizen"
1450,SageWiZe,"Everyone and their mothers will go around asking for people to touch their cocks! - @zDorien","2023-01-20 17:17:40.341000","Star Citizen"
1451,SageWiZe,"You got one fat cock there! - @The_Galen","2023-01-20 17:20:47.241000","Star Citizen"
1452,ArtAndSoul7,"!play with my balls -TheNickNZ","2023-01-20 17:50:02.397000","Star Citizen"
1453,SageWiZe,"Ohhhh Pesteh came @thenicknz? Now I’m paying attention…. - @ArtAndSoul7","2023-01-20 18:00:11.077000","Star Citizen"
1454,SageWiZe,"That one was rough KS! - @artandsoul7","2023-01-20 18:24:13.837000","Star Citizen"
1455,SageWiZe,"I can't come to you! That would be awkward! - @SuperPenguinTV","2023-01-20 21:48:45.473000","Star Citizen"
1456,SageWiZe,"@Nachtmeister666 Nut Master wins it! - @SuperPenguinTV","2023-01-21 20:18:56.998000","Star Citizen"
1457,SageWiZe,"Give the hotdog guy a hand job! - @hazelnutgames","2023-01-28 19:19:40.281000","Star Citizen"
1458,SageWiZe,"if they give me one I will be their bitch! - @pesteh","2023-01-28 22:54:42.044000","Star Citizen"
1459,SageWiZe,"Look how huge they are! Wow they are big! Are they huge @beercoretv or am I just high and drunk? - @superpenguintv","2023-01-28 23:00:07.047000","Star Citizen"
146,SageWiZe,"I guess he can take the rear turret! He likes the rear end! - SuperPenguinTV","2022-01-19 21:16:22.039000","Star Citizen"
1460,SageWiZe,"You put my pants back on! This shit is getting weird! - @beercoretv","2023-01-29 02:07:06.438000","Star Citizen"
1461,SageWiZe,"RNG has fucked me every time ive done it! - @pesteh","2023-02-02 19:29:50.325000","Star Citizen"
1462,SageWiZe,"YAY! We're going to play with balls! - @TheNickNZ","2023-02-02 19:31:40.773000","Star Citizen"
1463,SageWiZe,"Lets have one wher we can actually finish! LUL - @Tsunamisan","2023-02-02 19:34:20.829000","Star Citizen"
1464,SageWiZe,"@ArtAndSoul7 is going in on the inside trying to get it! - @SuperPenguinTV","2023-02-02 19:37:59.106000","Star Citizen"
1465,SageWiZe,"Wth we’re those balls that dropped in? - @falcon_evo_","2023-02-02 20:26:05.676000","Star Citizen"
1466,SageWiZe,"I think I forgot to get in on that! - @ArtAndSoul7","2023-02-02 20:29:36.611000","Star Citizen"
1467,SageWiZe,"I'm coming for you @ArtAndSoul7 LUL - @TheNickNZ","2023-02-02 21:33:37.991000","Star Citizen"
1468,SageWiZe,"Come on me!! - @ArtAndSoul7","2023-02-03 20:00:35.086000","Star Citizen"
1469,SageWiZe,"Whip it out! - @JediShinobi13","2023-02-03 20:06:48.117000","Star Citizen"
147,Super_Waffle_Bot,"I can not control my Dragonfly! - Kuroda","2021-12-31 00:00:00.000000","Star Citizen"
1470,SageWiZe,"Did Penguin say he is gonna drink his bong water? - @ArtAndSoul7","2023-02-03 20:47:46.532000","Star Citizen"
1471,SageWiZe,"@SuperPenguinTV that marble on stream looks like an ass crack! LUL - @Kstvl","2023-02-04 20:55:20.657000","Star Citizen"
1472,SageWiZe,"I don't know I pulled that one out of my ass! - @superpenguintv","2023-02-04 22:24:38.738000","Star Citizen"
1473,SageWiZe,"I can't do it! - @trydyyecry","2023-02-04 22:35:20.411000","Star Citizen"
1474,SageWiZe,"yeah @Tsunamisan I'm becoming an CHIBI woot! - @Kstvl","2023-02-04 23:14:16.210000","Star Citizen"
1475,SageWiZe,"That was my first time doing that! lol - @yeet__nation","2023-02-04 23:17:35.806000","Star Citizen"
1476,SageWiZe,"I'm Australian my car is powered by koalas! - @MrLucas265","2023-02-04 23:18:35.983000","Star Citizen"
1477,SageWiZe,"All hail Pico, Devourer of Worlds! - @TheNickNZ","2023-02-05 03:52:22.048000","Star Citizen"
1478,SageWiZe,"Super Penguin TV some viewers prefer to play with balls over go karts! - @The_Galen","2023-02-05 03:56:50.841000","Star Citizen"
1479,SageWiZe,"@hazlenut Did you cream in my coffee? It taste good though! - @Thornberg84","2023-02-07 18:04:34.810000","Hogwarts Legacy"
148,Super_Waffle_Bot,"Daddy are we there yet? Are we there yet, Are we there yet? Nope , Now Nope How about now? Are we there yet? - TheAngryMidgetLady ","2021-12-23 00:00:00.000000","Star Citizen"
1480,SageWiZe,"My wood is hard, unyielding, and quite bendy! - @SuperPenguinTV","2023-02-07 19:26:11.534000","Hogwarts Legacy"
1481,SageWiZe,"I know @comicstud is fascinated with crossed wands! - @SuperPenguinTV","2023-02-07 21:52:03.583000","Hogwarts Legacy"
1482,SageWiZe,"You look like a fucking lepercon! - @Thornberg84","2023-02-09 19:28:21.678000","Hogwarts Legacy"
1483,SageWiZe,"Oh, already creamed by the bus! - @pesteh","2023-02-09 20:46:59.410000","Hogwarts Legacy"
1484,SageWiZe,"you can have a button, Nick LUL The one from the toilet.. It may or may not have poop on it! @pesteh Oooh, Bonus poop?!? Noice! @TheNickNZ","2023-02-09 21:15:33.512000","Hogwarts Legacy"
1485,SageWiZe,"I'm too wide. You're welcome to try it but from my angle it didn't fit! - @beercoretv I can fit in! - @superpenguintv","2023-02-10 20:13:01.699000","Star Citizen"
1486,SageWiZe,"Wtf is my ball doing! - @WarKing86","2023-02-11 03:25:29.796000","Star Citizen"
1487,SageWiZe,"She wants the nut in her mouth! lol - @zombieland2019","2023-02-11 06:53:52.763000","Star Citizen"
1488,SageWiZe,"I hope I don't get it stuck in my neck cause I don't want to get a kink in my neck! - @Thornberg84","2023-02-11 07:55:28.857000","Star Citizen"
1489,SageWiZe,"I french pressed your mom! - @falcon_evo_","2023-02-11 07:59:16.929000","Star Citizen"
149,SageWiZe,"There will be something kind of poking out inside! - Ghostcomm","2022-01-26 20:18:49.155000","Deep Rock Galactic"
1490,SageWiZe,"Show more nipple! - @JediShinobi13","2023-02-11 21:11:31.969000","Star Citizen"
1491,SageWiZe,"Shit kissed it! @ArtAndSoul7","2023-02-11 21:12:51.154000","Star Citizen"
1492,TheNickNZ,"@ArtAndSoul7 Stop Nick. I wanna stay on top of you. - Star Citizen","2023-02-15 23:30:38.612000","Star Citizen"
1493,SageWiZe,"o/ Thanks for the bump! @ArtAndSoul7 - @Randprint","2023-02-17 18:30:10.240000","Star Citizen"
1494,SageWiZe,"@randprint I’ll give ya a bump anytime! 😂 - @ArtAndSoul7","2023-02-17 18:30:35.378000","Star Citizen"
1495,ArtAndSoul7,"Now you gotta fix your cam that auto tracks to your balls lately. -Sagewize","2023-02-17 18:38:29.646000","Star Citizen"
1496,SageWiZe,"How is the dinner? - @Nuvene","2023-02-17 18:49:18.275000","Star Citizen"
1497,SageWiZe,"Asparagus makes the man milk taste better! - @SuperPenguinTV","2023-02-17 18:52:43.877000","Star Citizen"
1498,SageWiZe,"Asparagus makes the man milk taste better! - @SuperPenguinTV No that's pineapple! - @Nuvene","2023-02-17 18:53:52.154000","Star Citizen"
1499,SageWiZe,"Asparagus makes your pee smell like rubber! - Best part! - @JediShinobi13","2023-02-17 18:54:50.302000","Star Citizen"
15,SageWiZe,"I'm getting it all over my leg! - SuperPenguinTV","2022-09-05 00:22:53.032000","Star Citizen"
150,SageWiZe,"Quit tooting your own horn! - Octane93 if I don't do it who will? - SuperPenguinTV","2022-01-26 20:22:26.841000","Deep Rock Galactic"
1500,SageWiZe,"If artandsoul didn’t see it, it didn’t happen? … - @ArtAndSoul7","2023-02-17 19:18:29.108000","Star Citizen"
1501,SageWiZe,"Why do you guys have to run up and put your head in my crotch? - @SuperPenguinTV","2023-02-17 20:35:52.135000","Star Citizen"
1502,SageWiZe,"@DarknessMuta is still holding it! - @SuperPenguinTV","2023-02-18 00:23:15.593000","Star Citizen"
1503,SageWiZe,"I am going on the inside bumping and pushing! - @SuperPenguinTV","2023-02-18 00:23:45.518000","Star Citizen"
1504,SageWiZe,"Man, I have been nailing the plinkos today! SeemsGood - @ACorpse","2023-02-18 01:30:44.930000","Star Citizen"
1505,ArtAndSoul7,"I don’t mind ArtAndSoul7 being on top of me LUL sptvLove -TheNickNZ","2023-02-24 18:02:54.609000","Star Citizen"
1506,SageWiZe,"Hard to be on top when you are in the middle @ArtAndSoul7 - @SageWiZe Middle is good! - @ArtAndSoul7","2023-02-24 18:05:38.864000","Star Citizen"
1507,SageWiZe,"It was so smooth! I was on a good run! @superpenguintv","2023-02-24 22:31:38.287000","Star Citizen"
1508,SageWiZe,"Hazel on my nuts! - @thornberg84","2023-02-25 17:08:17.149000","Star Citizen"
1509,SageWiZe,"I am going to try and grab the Box Guys! - @SuperPenguinTV","2023-02-25 17:47:31.754000","Star Citizen"
151,SageWiZe,"You got to kill it first than loot its ass! - Ghostgomm","2022-01-26 20:42:25.723000","Deep Rock Galactic"
1510,SageWiZe,"It's adult Mens match! - @poodoo_simon","2023-02-25 18:30:09.896000","Star Citizen"
1511,SageWiZe,"SageWiZe just gave me a ShoutOut in my own Stream! - @thornberg84 LUL","2023-02-25 19:19:32.475000","Star Citizen"
1512,SageWiZe,"I am a little worried how fast you jumped on it @pesteh ! - @SuperPenguinTV","2023-02-25 19:45:58.599000","Star Citizen"
1513,SageWiZe,"That is some tasty dog? - @JediShinobi13","2023-02-25 19:54:29.108000","Star Citizen"
1514,SageWiZe,"I saw one in your hand! - @SuperPenguinTV No! it came off the floor! - @HazelnutGames","2023-02-25 20:06:37.580000","Star Citizen"
1515,SageWiZe,"@pesteh is @pesteh s Doppleganger! - @JediShinobi13","2023-02-25 20:08:18.954000","Star Citizen"
1516,SageWiZe,"On your left you see clouds, on your right you see clouds, above you see clouds! - @SuperPenguinTV","2023-02-25 20:23:20.753000","Star Citizen"
1517,SageWiZe,"@comicstud is about to finish! - @beercoreTV","2023-02-25 22:50:33.876000","Star Citizen"
1518,SageWiZe,"No Mother F Nut! - @SuperPenguinTV","2023-02-25 23:16:34.108000","Star Citizen"
1519,SageWiZe,"Holy Fuck! I am going to Nut Tonight! - @SuperPenguinTV","2023-02-25 23:18:27.723000","Star Citizen"
152,SageWiZe,"Don't go balls deep! - Ghostcomm","2022-01-26 23:44:54.378000","Deep Rock Galactic"
1520,SageWiZe,"I'm blue, I'm in need of a guy, I'm in need of a guy! - @TryDyyeCry","2023-02-26 00:17:45.544000","Star Citizen"
1521,SageWiZe,"Y’all are funny fuckers! - @ArtAndSoul7","2023-02-26 00:59:16.477000","Star Citizen"
1522,ArtAndSoul7,"You do you BooBoo! -Beercore to Penguin","2023-03-03 20:00:22.081000","Star Citizen"
1523,SageWiZe,"I guess I have master baited enough I can use my wrist! - @SuperPenguinTV","2023-03-03 22:09:17.859000","Star Citizen"
1524,SageWiZe,"You can move your head in and out too! - @PooDoo_Simon","2023-03-04 02:58:46.251000","Star Citizen"
1525,SageWiZe,"It's to small to tell what it is! - @Tsunamisan","2023-03-04 20:40:15.134000","Star Citizen"
1526,SageWiZe,"What do you like bigger or smaller? - @SuperPenguinTV","2023-03-05 02:02:58.488000","Star Citizen"
1527,SageWiZe,"Didn't touch the mouse! - @Tsunamisan","2023-03-05 02:06:23.145000","Star Citizen"
1528,SageWiZe,"Who is going to make it down the butt hole first? - @SuperPenguinTV","2023-03-05 02:16:54.606000","Star Citizen"
1529,SageWiZe,"I'll PEE right back LUL - @TheNickNZ","2023-03-10 18:35:49.166000","Star Citizen"
153,SageWiZe,"So what you’re saying is Sage has 5 inches on you resistant_gaming ? - Ghostcomm","2022-01-27 01:42:57.446000","Deep Rock Galactic"
1530,SageWiZe,"I can't wait till we can change boob size! - @SuperPenguinTV","2023-03-10 19:22:14.893000","Star Citizen"
1531,SageWiZe,"I lost my balls! - @beercoreTV","2023-03-10 19:22:30.325000","Star Citizen"
1532,SageWiZe,"I've seen your desk penguin... ANYTHING will stick to that thing LUL - @TheNickNZ","2023-03-10 19:30:44.594000","Star Citizen"
1533,SageWiZe,"Penguin enjoys playing with track balls in his mouth pad! LUL - @TheNickNZ","2023-03-10 19:35:17.336000","Star Citizen"
1534,SageWiZe,"You hear that chat you get to Fuck him tonight. You get to come in his ear! - @Thornberg84 I will let you stick it in my ear and swirl it around! - @SuperPenguinTV","2023-03-10 19:36:57.397000","Star Citizen"
1535,SageWiZe,"I'm a useful idiot! - @beercoreTV","2023-03-10 19:52:30.529000","Star Citizen"
1536,SageWiZe,"Have you tried not Master Baiting? - @thronberg84","2023-03-10 21:04:40.034000","Star Citizen"
1537,SageWiZe,"My Whole Family knows this song! Yella NaNaNa - @beercoreTV","2023-03-10 21:15:18.140000","Star Citizen"
1538,SageWiZe,"Guys! Guys! I need your help! - @beercoreTV If you got it stuck again I'm not helping! - @pesteh I was not ready for that! I was not ready for that! - @SuperPenguinTV","2023-03-10 21:25:34.228000","Star Citizen"
