id,createdBy,quote,createdDate,game
1042,Super_Waffle_Bot,"im always awesome -SuperPenguinTV ","2022-01-14 00:00:00.000000","Star Citizen"
1043,SageWiZe,"Some people put disgusting things like mushrooms, mold and olives in their pizza, but complains about pineapple. There are many tastes said dog and licked ther ahole... LUL - Chrisdyan","2022-09-01 21:59:40.657000","Star Citizen"
1044,Super_Waffle_Bot,"I like big dogs! - SuperPenguinTV ","2021-12-30 00:00:00.000000","Star Citizen"
1045,SageWiZe,"Did someone say Sage…. ArtAndSoul7","2022-09-13 19:12:35.513000","Star Citizen"
1046,SageWiZe,"I don't do it on myself! I have someone do it on me! - SuperPenguinTV","2022-09-13 21:29:43.885000","Star Citizen"
1047,SageWiZe,"I mean I can’t help it if someone wants to be me…. It’s the beautiful zombie look, ya know. Haha! - ArtAndSoul7","2022-09-13 22:13:20.154000","Star Citizen"
1048,SageWiZe,"Guys ask when his balls will drop on me! - SuperPenguinTV","2022-09-13 22:14:31.228000","Star Citizen"
1049,ArtAndSoul7,"My Dad showed his butthole on my stream! -Penguin","2022-09-13 22:17:50.668000","Star Citizen"
105,SageWiZe,"I will stuff myself so bad it hurts! - Thornberg84","2022-01-22 19:51:11.644000","Star Citizen"
1050,SageWiZe,"Sage is on the quotes tonight! - ArtAndSoul7","2022-09-13 22:17:56.879000","Star Citizen"
1051,SageWiZe,"I call it my Sack! - ArtAndSoul7","2022-09-13 22:18:15.375000","Star Citizen"
1052,SageWiZe,"You wanted to say it! - SageWiZe No you reeled me into that quote 😂- ArtAndSoul7","2022-09-13 22:22:32.518000","Star Citizen"
1053,SageWiZe,"Art teachers are different! - ArtAndSoul7","2022-09-13 22:55:56.709000","Star Citizen"
1054,SageWiZe,"Sage, you’re a night owl and early bird. You don’t sleep. 😉- ArtAndSoul7","2022-09-13 22:58:36.323000","Star Citizen"
1055,SuperPenguinTV,"If Penguin is still streaming (or streaming again) when my work day is over, I'll have a drink with him. -hazelnut","2022-09-14 06:49:37.469000","Star Citizen"
1056,SageWiZe,"Oh Shit! I will BRB! I have to go check my pants. That sound may have made me shit my pantsI - SuperPenguinTV","2022-09-17 02:14:52.709000","Star Citizen"
1057,SageWiZe,"I already love this stream! - AmChooka","2022-09-17 04:05:27.471000","Star Citizen"
1058,ArtAndSoul7,"You’ve been watching too much pornography! -Addermoth to Penguin","2022-09-17 14:58:00.300000","Star Citizen"
1059,ArtAndSoul7,"I think you’re a bit of a stretch! -Penguin to Pesteh You wish buddy! -Pesteh","2022-09-17 17:16:02.931000","Star Citizen"
106,ArtAndSoul7,"I bought more alcohol tonight so I’ll be able to last longer. -Dark","2022-01-22 19:55:33.279000","Star Citizen"
1060,ArtAndSoul7,"We are gonna go together naked! -Penguin","2022-09-17 20:01:54.264000","Star Citizen"
1061,ArtAndSoul7,"Pesteh, take off your gown please. I wanna see you naked. I wanna see your ass crack! -Penguin","2022-09-17 20:10:41.003000","Star Citizen"
1062,ArtAndSoul7,"No, nobody can help you because you make us go in naked! -Hazelnut","2022-09-17 20:27:25.024000","Star Citizen"
1063,SageWiZe,"Are you offering or taking/ reciving? SuperPenguinTV","2022-09-20 17:33:04.437000","Star Citizen"
1064,SageWiZe,"Nice Camel Toe SuperPenguinTV LUL - QuelsarPrime","2022-09-20 23:29:26.223000","Star Citizen"
1065,ArtAndSoul7,"It hurts to pick up my beer! -Penguin","2022-09-22 16:27:07.644000","Star Citizen"
1066,SageWiZe,"Going out for a steakkkk… Be back later! Y’all have fun! - ArtAndSoul7","2022-09-22 17:23:25.156000","Star Citizen"
1067,SageWiZe,"I think I will just Gag Really Hard On It! - SuperPenguinTV","2022-09-22 17:25:49.341000","Star Citizen"
1068,SageWiZe,"Sage is on it! - ArtAndSoul7","2022-09-22 17:32:43.501000","Star Citizen"
1069,SageWiZe,"I can not even Master Bait right now! - SuperPenguinTV","2022-09-22 18:52:17.291000","Star Citizen"
107,SageWiZe,"You just came all over it and it died! - Thornberg84","2022-01-22 20:03:20.761000","Star Citizen"
1070,SageWiZe,"SuperPenguinTV you gotta have a big white dick to slap someone with! LUL - Kstvl","2022-09-22 21:02:12.133000","Star Citizen"
1071,SageWiZe,"Are you in your bedroom? Do you live alone? - SuperPenguinTV","2022-09-22 21:03:41.391000","Star Citizen"
1072,SageWiZe,"I'm the worst player ever! - beercoreTV","2022-09-22 22:11:05.020000","Star Citizen"
1073,SageWiZe,"It should be melting in your mouth! - SuperPenguinTV","2022-09-22 23:12:15.929000","Star Citizen"
1074,SageWiZe,"Penguin famous words I just landed on your head. LUL - Kstvl","2022-09-23 00:06:16.832000","Star Citizen"
1075,SageWiZe,"All i want for dash flair is one of those trucker Balls! compasses - Randprint","2022-09-23 22:49:31.010000","Star Citizen"
1076,SageWiZe,"I thought the guy on the left was called Anal Hurston - then I realised it was Arial - SaltyMcLovin","2022-09-23 23:18:00.954000","Star Citizen"
1077,SageWiZe,"Go talk to the thicc chad boi! - beercoreTV","2022-09-24 00:36:15.840000","Star Citizen"
1078,SageWiZe,"Of course SageWiZe would add a quote! - beercoreTV","2022-09-24 00:37:39.066000","Star Citizen"
1079,ArtAndSoul7,"I’m usually not interested in guys in underwear, but you do that to me! -Strannex to Penguin","2022-09-24 16:16:22.076000","Star Citizen"
108,SageWiZe,"I usually am usually strong for 3 to 4 hours! Hold on I got to go rub one out! - Thornberg84","2022-01-22 20:23:28.701000","Star Citizen"
1080,ArtAndSoul7,"I’ve got my thingy too, but I can’t show it on stream! -Penguin","2022-09-24 16:39:14.336000","Star Citizen"
1081,ArtAndSoul7,"I’ve seen Penguin’s thingy. -Addermoth","2022-09-24 16:39:55.352000","Star Citizen"
1082,ArtAndSoul7,"Captain Bumble Fuck! -Pesteh to Penguin","2022-09-24 19:54:30.446000","Star Citizen"
1083,SageWiZe,"Don't Fck me! - Rando Player at space port! No I am not going to Fck you! My dick is to small! - SuperPenguinTV","2022-09-24 21:30:03.274000","Star Citizen"
1084,SageWiZe,"I have 1.75 liters of Cheetos! - Octane93","2022-09-24 22:46:09.692000","Star Citizen"
1085,SageWiZe,"You are the one that turned me on to that! - SuperPenguinTV","2022-09-24 22:52:22.815000","Star Citizen"
1086,SageWiZe,"Type !dixper - SuperPenguinTV Exclamation What? - Octane93","2022-09-24 22:53:48.652000","Star Citizen"
1087,SageWiZe,"I have one or two more stops in me! Yeah! I am a pussy! - beercoreTV","2022-09-24 22:55:23.150000","Star Citizen"
1088,SageWiZe,"I don't have pants! - jedishinobi13","2022-09-24 23:10:43.700000","Star Citizen"
1089,SageWiZe,"A single mother accountant trying desperately to make her kid think she's cooler than she is. - ACorpse","2022-09-24 23:12:05.090000","Star Citizen"
109,Super_Waffle_Bot,"He wishes he had a log! He wants a treat! He is giving you a kiss! - CiscoPRTV ","2022-01-08 00:00:00.000000","Star Citizen"
1090,SageWiZe,"Everyone come around me! - SuperPenguinTV","2022-09-24 23:34:20.014000","Star Citizen"
1091,ArtAndSoul7,"I’m naked! -Pesteh","2022-09-29 19:30:09.382000","Star Citizen"
1092,ArtAndSoul7,"No one can see you masterbate too! That’s the only reason you need a privacy screen when you sleep! -Penguin","2022-09-30 04:27:17.803000","Star Citizen"
1093,ArtAndSoul7,"I masterbate while I’m awake! -Penguin","2022-09-30 04:29:29.867000","Star Citizen"
1094,SageWiZe,"Well...that is kinda what I mean. You don't go...as far as most! - Strannex","2022-10-01 23:12:15.512000","Star Citizen"
1095,SageWiZe,"Oh! Fuck me it's still loading! - WingZeroType","2022-10-01 23:47:57.895000","Star Citizen"
1096,SageWiZe,"Do I need to get clothes? Or we going naked? - WingZeroType I'm good with what ever! - jedishinobi13","2022-10-01 23:50:08.837000","Star Citizen"
1097,SageWiZe,"The Hemeroid wins! - NomberWahn","2022-10-02 00:15:52.221000","Star Citizen"
1098,SageWiZe,"Yes, I beat him!","2022-10-02 00:20:01.895000","Star Citizen"
1099,SageWiZe,"Who does not suck the American Cock? - WingZeroType","2022-10-02 01:04:50.488000","Star Citizen"
11,SageWiZe,"Fucking A! I am sweating my balls off right now! - SuperPenguinTV","2022-09-02 02:11:59.827000","Star Citizen"
110,SageWiZe,"We are talking eraser time got to rub one out. - ghostcomm","2022-01-22 20:24:57.250000","Star Citizen"
1100,SageWiZe,"I love dead guys! WingZeroType","2022-10-02 01:06:32.135000","Star Citizen"
1101,SageWiZe,"Who wants to go rescue dead guys?","2022-10-02 01:06:57.471000","Star Citizen"
1102,SageWiZe,"SuperPenguinTV Do you want to go get some Cuck? - WingZeroType","2022-10-02 01:11:04.664000","Star Citizen"
1103,SageWiZe,"Can we seduce the Idris? @WingZeroType Shake your turret at it SuperPenguinTV! - Yeah go Hard! Go Hard! - WingZeroType","2022-10-02 01:15:29.639000","Star Citizen"
1104,SageWiZe,"You're a content Geyser at this point! Shoot it out the back side! - jedishinobi13","2022-10-02 01:17:32.168000","Star Citizen"
1105,SageWiZe,"All it took was you lying on the ground like you got fucked! - WingZeroType","2022-10-02 01:20:36.896000","Star Citizen"
1106,SageWiZe,"It's an Orgy of Bodies! SageWiZe you're not here for that? God Dang It! - WingZeroType","2022-10-02 01:55:35.696000","Star Citizen"
1107,SageWiZe,"Over here you fuck nut! - SuperPenguinTV It took me a while to take my clothes off! - jedishinobi13 Is she just the slave of the week? - WingZeroType","2022-10-02 01:58:10.927000","Star Citizen"
1108,SageWiZe,"Oh I just thought it was your kink! - WingZeroType","2022-10-02 01:58:47.461000","Star Citizen"
1109,SageWiZe,"Mabe he just likes your shit! - jedishinobi13","2022-10-02 01:59:57.340000","Star Citizen"
111,SageWiZe,"You got to drain every drop out in your safe spot so its not dripping on the floor! - missgamerfan","2022-01-22 20:47:43.863000","Star Citizen"
1110,SageWiZe,"I have a Burrito! - WingZeroType","2022-10-02 02:12:00.879000","Star Citizen"
1111,SageWiZe,"It's all Dad Fat! - SuperPenguinTV","2022-10-02 02:48:26.993000","Star Citizen"
1112,SageWiZe,"I'm coming! - WingZeroType That's one thing that sucked me into the game! - SuperPenguinTV","2022-10-02 02:50:14.298000","Star Citizen"
1113,SageWiZe,"Don't worry I go naked every time! - SuperPenguinTV I want to go naked with you so I can see the action! - ta_ta_man123","2022-10-02 03:39:10.535000","Star Citizen"
1114,SageWiZe,"What was the discussion about chicks who flirt? - artandsoul7","2022-10-04 21:54:47.447000","Star Citizen"
1115,SageWiZe,"If it's folded is it a taco? - jedishinobi13","2022-10-04 22:17:41.145000","Star Citizen"
1116,SageWiZe,"I'm not sure if I can do fish though! - artandsoul7","2022-10-04 22:23:12.861000","Star Citizen"
1117,SageWiZe,"Yeah, I know meat is a requirement on that trip. 😉 - artandsoul7","2022-10-04 22:26:04.089000","Star Citizen"
1118,ArtAndSoul7,"Makin it hard ArtAndSoul. Makin it hard for people! -Penguin","2022-10-04 22:34:57.960000","Star Citizen"
1119,SageWiZe,"You'll have to train another dog to randomly shit on the floor LUL! - thenicknz","2022-10-04 23:06:15.152000","Star Citizen"
112,Super_Waffle_Bot,"You going Ouch is not a good thing. - SuperPenguinTV ","2021-12-19 00:00:00.000000","Star Citizen"
1120,SageWiZe,"I need my beauty sleep! - amunra79","2022-10-04 23:54:46.758000","Star Citizen"
1121,SageWiZe,"That thing is so damn massive! I luv it! - aroxiii","2022-10-04 23:58:42.615000","Star Citizen"
1122,SageWiZe,"QueenVik404 Well... i'd certainly never say anything like how much Drake ships suck. - mrblaargh","2022-10-05 00:45:20.089000","Star Citizen"
1123,SageWiZe,"I want to bump him so bad! - superpenguintv","2022-10-05 01:04:43.262000","Star Citizen"
1124,SageWiZe,"By the way! I'm a Dick! - superpenguintv","2022-10-05 01:09:25.103000","Star Citizen"
1125,SageWiZe,"I'm coming up to you! - superpenguintv","2022-10-05 01:14:40.076000","Star Citizen"
1126,SageWiZe,"Damnit Charlie you twat! - dmwliberator","2022-10-05 01:55:35.682000","Star Citizen"
1127,SageWiZe,"Somebody could actually do shot in chat! Do shot you fucking cunt! - superpenguintv","2022-10-05 01:57:20.593000","Star Citizen"
1128,SageWiZe,"Should've lasted 5 minutes! - queenvik404","2022-10-05 02:11:40.361000","Star Citizen"
1129,SageWiZe,"You should probably take my shot before you head in! - thenicknz","2022-10-05 02:18:05.161000","Star Citizen"
113,SuperPenguinTV,"Whoa I gotta get on penguin more often - ArtAndSoul7","2022-01-19 19:26:12.545000","Star Citizen"
1130,SageWiZe,"I'm your boy! @joshhopey","2022-10-05 05:00:17.569000","Star Citizen"
1131,SageWiZe,"Yeah I'm sucked into it! - superpenguintv","2022-10-05 05:03:34.254000","Star Citizen"
1132,SageWiZe,"dmwliberator how's it feel? - artandsoul7 Tingly! - dmwliberator","2022-10-05 06:28:11.999000","Star Citizen"
1133,SageWiZe,"I can't pull it out here! - superpenguintv","2022-10-07 23:39:43.173000","Star Citizen"
1134,SageWiZe,"Mr. SageWiZe will you stop waving your PP around? - saltymclovin","2022-10-07 23:51:53.209000","Star Citizen"
1135,pesteh,"that's only two inches - SuperPenguinTV","2022-10-09 20:24:11.123000","Star Citizen"
1136,SageWiZe,"Your buddy kept ramming into me! - superpenguintv","2022-10-11 21:08:04.267000","Star Citizen"
1137,SageWiZe,"I collect helmets guys! - superpenguintv","2022-10-11 22:33:37.267000","Star Citizen"
1138,SageWiZe,"Remember to check the date on the helmets, and don't keep 'em in your wallet! - wavesaver If you're married you don't have to worry about that! - superpenguintv","2022-10-11 22:37:34.228000","Star Citizen"
1139,SageWiZe,"I like to break it 😉! - artandsoul7","2022-10-11 22:48:09.303000","Star Citizen"
114,Super_Waffle_Bot,"Hold on I was looking up do Penguins have Penis! - comicstud ","2022-01-07 00:00:00.000000","Star Citizen"
1140,SageWiZe,"Oh! I got dix! Keep going down! - superpenguintv","2022-10-11 23:08:47.390000","Star Citizen"
1141,SageWiZe,"Are youu being manhandled? - ACorpse","2022-10-13 17:50:36.689000","Star Citizen"
1142,SageWiZe,"What is a Dixper Crate? - Bu11etman","2022-10-14 17:02:50.755000","Star Citizen"
1143,SageWiZe,"I got the itch! - wavesaver","2022-10-14 19:52:53.695000","Star Citizen"
1144,SageWiZe,"I just tease, I was on the pool table for the pose! - wavesaver","2022-10-14 20:41:34.172000","Star Citizen"
1145,SageWiZe,"No chains huh? - artandsoul7","2022-10-14 20:45:11.962000","Star Citizen"
1146,SageWiZe,"Feeling like I'm going to be cooked! - razorpig71","2022-10-14 21:48:05.663000","Star Citizen"
1147,SageWiZe,"If you don't show any buttholes on stream! - kstvl","2022-10-14 22:42:31.466000","Star Citizen"
1148,ArtAndSoul7,"It sucks when they’re that hard! -Penguin","2022-10-18 18:55:26.927000","Star Citizen"
1149,ArtAndSoul7,"I’m going in naked on this one! -Penguin","2022-10-21 19:20:02.808000","Star Citizen"
115,Super_Waffle_Bot,"You said one and done, and all I could think is one pump chump. - ArtAndSoul7 ","2022-01-08 00:00:00.000000","Star Citizen"
1150,SageWiZe,"Who said that? - SuperPenguinTV !Debbie Does Dallas? - AdderMoth No not a porn film! - SuperPenguinTV","2022-10-21 20:07:50.411000","Star Citizen"
1151,SageWiZe,"I got that taste in my mouth and I want MORE! - SuperPenguinTV","2022-10-21 20:14:30.543000","Star Citizen"
1152,SageWiZe,"It's bad when I'm trying to have sexy time with the wife and I have to yell at the dog to stop licking my butt hole! - SuperPenguinTV","2022-10-22 19:57:35.474000","Star Citizen"
1153,SageWiZe,"I'm a Weiner! - JediShinobi13","2022-10-22 20:22:26.954000","Star Citizen"
1154,SageWiZe,"Does this song say Sucky Sucky Sucky? - SuperPenguinTV","2022-10-22 20:22:58.149000","Star Citizen"
1155,SageWiZe,"I'm enjoying spooky time. - wavesaver","2022-10-25 19:54:54.793000","Amnesia: Rebirth"
1156,ArtAndSoul7,"You gotta give Pesteh a blowjob and then you might get the Corsair!","2022-10-27 18:27:34.635000","Star Citizen"
1157,SageWiZe,"SageWiZe You're a dick! - SuperPenguinTV","2022-10-28 01:45:10.020000","Star Citizen"
1158,SageWiZe,"I need to strap you down so I can open your mouth and put this in there! I do not want to hear no! Lay down on the bed! It's going to be hard to get this guy up! - SuperPenguinTV","2022-10-28 18:48:06.829000","Star Citizen"
1159,SageWiZe,"Jump on it again! Just a little bit more! Go ahead and get his leg up! - AdderMoth Adder and I are trying to get this guy off at the bar! - @HazelnutGames","2022-10-28 18:51:32.962000","Star Citizen"
116,SageWiZe,"Dang Dark is on him tonight! - missgamerfan","2022-01-22 21:02:25.949000","Star Citizen"
1160,SageWiZe,"You do not know Sexy till you come and meet me and HazelnutGames - AdderMoth","2022-10-28 18:53:39.271000","Star Citizen"
1161,SageWiZe,"But I love sausage, too, so it's not fair! - FatOldLion","2022-10-28 19:30:11.632000","Star Citizen"
1162,SageWiZe,"You just use your hand! - SuperPenguinTV","2022-10-28 20:34:43.261000","Star Citizen"
1163,SageWiZe,"My body is gassing out! beercoreTV","2022-10-28 20:43:55.940000","Star Citizen"
1164,SageWiZe,"Addermoth does not feather his way around the sticks. He's like Penguin, he yanks the fuckers, slaps them around and manhandles them! - WingZeroType","2022-10-28 21:13:29.044000","Star Citizen"
1165,ArtAndSoul7,"Show me your stick Penguin! -Addermoth","2022-10-28 21:14:12.526000","Star Citizen"
1166,SageWiZe,"I can be gentle too! - AdderMoth","2022-10-28 21:14:25.694000","Star Citizen"
1167,SageWiZe,"All this stick talk is just too much for me… 😍 😂- ArtAndSoul7","2022-10-28 21:20:38.523000","Star Citizen"
1168,SageWiZe,"Stick it to ya! - VRLabRat","2022-10-28 21:21:53.812000","Star Citizen"
1169,SageWiZe,"Put your money where your mouth is! - beercoreTV","2022-10-28 21:41:30.443000","Star Citizen"
117,Super_Waffle_Bot,"I am liking the crevice it's weird! - comicstud","2021-12-31 00:00:00.000000","Star Citizen"
1170,SageWiZe,"What were you two doing in the back room QueenVik404 & Ripley? - HazelnutGames You do not want to know! - pesteh","2022-10-29 16:31:47.015000","Star Citizen"
1171,ArtAndSoul7,"I got a sausage right here for you Pesteh! -Penguin","2022-10-29 21:42:33.071000","Star Citizen"
1172,SageWiZe,"We got double dickhead! - superpenguintv","2022-10-29 22:09:14.963000","Star Citizen"
1173,SageWiZe,"I'm a loveable asshole! - superpenguintv","2022-10-29 22:12:20.897000","Star Citizen"
1174,SageWiZe,"Come on xiephr_tactix don't back out now! - pesteh","2022-10-29 22:31:56.904000","Star Citizen"
1175,SageWiZe,"@SageWiZe Just another inch! - pesteh","2022-10-29 22:33:58.513000","Star Citizen"
1176,SageWiZe,"Someone get that man a Burrito! - falcon_evo_","2022-10-29 22:38:44.382000","Star Citizen"
1177,SageWiZe,"It makes me bigger! - superpenguintv","2022-10-29 23:23:41.508000","Star Citizen"
1178,ArtAndSoul7,"I’m coming up on pesteh backside with the loudest ranking. Hold on your butt, Brother! I’m coming for you. -Strannex","2022-11-02 16:41:48.009000","Star Citizen"
1179,SageWiZe,"Man it's really good you're talented at coding b/c you CANNOT do EDM! - WingZeroType","2022-11-02 22:10:08.189000","Star Citizen"
118,SageWiZe,"Get slapped in the face with long shlongs! - SuperPenguinTV","2022-01-22 21:12:27.092000","Star Citizen"
1180,SageWiZe,"I want bacon pasties! - FatOldLion","2022-11-02 22:29:03.969000","Star Citizen"
1181,SageWiZe,"The shot was stolen because of a massive dump! LUL - TheNickNZ","2022-11-02 22:30:00.853000","Star Citizen"
1182,SageWiZe,"I have a huge stash! - ArtAndSoul7","2022-11-02 22:30:50.355000","Star Citizen"
1183,SageWiZe,"Poopypuppy shits all over the place!","2022-11-02 22:38:20.905000","Star Citizen"
1184,SageWiZe,"No one can be down to my humps! - ArtAndSoul7","2022-11-02 23:12:24.025000","Star Citizen"
1185,SageWiZe,"That makes my pussy wet! - SuperPenguinTV","2022-11-02 23:34:28.539000","Star Citizen"
1186,SageWiZe,"TOO LATE. I KNOW ALL ABOUT WET ASS PUSSY NOW! - NomberWahn","2022-11-02 23:34:58.809000","Star Citizen"
1187,SageWiZe,"It's a bug! That is the situation now! No work around! You are fucked! End of Story! - SuperPenguinTV","2022-11-02 23:38:50.135000","Star Citizen"
1188,SageWiZe,"Yippe Skippee! - Tsunamisan","2022-11-02 23:54:28.745000","Star Citizen"
1189,SageWiZe,"Oh My Gosh It Stinks In Here Right Now! - SuperPenguinTV","2022-11-03 00:28:05.460000","Star Citizen"
119,missgamerfan,"just whipped it out and spray him -MGF","2022-01-22 21:45:27.586000","Star Citizen"
1190,SageWiZe,"That PoopyPuppy Did Something! - SuperPenguinTV","2022-11-03 00:28:36.180000","Star Citizen"
1191,SageWiZe,"Don't wanna poop on the party, but when do you have to get up? - FatOldLion","2022-11-03 00:34:58.689000","Star Citizen"
1192,SageWiZe,"There goes my ship! Someone stole it! Can someone come pick me up? - SuperPenguinTV","2022-11-03 00:48:03.554000","Star Citizen"
1193,SageWiZe,"I’ve played with loads of French and German! - QueenVik404","2022-11-03 01:42:25.936000","Star Citizen"
1194,SageWiZe,"You're bumping my rock! - SuperPenguinTV","2022-11-03 19:09:40.960000","Star Citizen"
1195,SageWiZe,"I will take a big bag of Dicks! - SuperPenguinTV","2022-11-04 16:40:55.614000","Star Citizen"
1196,ArtAndSoul7,"SuperPenguinTV listen to pesteh he’s the voice of sanity here -Randprint","2022-11-04 18:31:05.964000","Star Citizen"
1197,SageWiZe,"!SR Too many Dicks! - pesteh","2022-11-04 19:45:18.659000","Star Citizen"
1198,SageWiZe,"As long as @pesteh isn't around to steal my pants! - thenicknz","2022-11-04 20:15:36.016000","Star Citizen"
